   37     18
  -21     22
   -4     20
    4      9
    0      3
    1      3
  -14      5
   -1      5
    3      6
    8      4
   13      8
    0      7
    2      5
   -2      1
   -2      2
    2      2
    1      1
    2      1
    1      1
    6      3
    2      3
   -7      5
   -7      5
   -2      5
    9      6
    3      4
   11      7
    6      6
    1      6
   -5      4
   -1      2
   12      6
    7      6
    0      6
    0      2
    3      1
   -1      1
    1      1
   -6      2
    4      3
    9      6
    7      6
   -3      6
    3      4
    2      2
   -6      3
    1      3
   -1      2
    9      3
   -4      4
   -2      5
   -1      2
   -1      1
    6      2
   -4      3
   -1      3
   -3      2
    2      2
   -9      4
    7      6
   -9      8
   -2      6
    0      3
    3      1
  -10      4
   11      8
    0      7
   15      8
   -2      5
   -2      6
    7      3
  -11      6
    4      7
   -3      6
   11      6
    0      4
    4      5
   -1      1
   -5      3
   -7      4
   -1      4
  -14      7
    2      5
    9      8
   -8      6
    7      8
    2      5
    7      5
   -6      5
    3      5
   -1      3
   -4      2
   10      5
    0      4
   -6      5
   -6      4
    8      6
    2      5
   -5      5
    3      3
  -11      6
  -33     15
   48     30
   32     37
  -48     42
  -21     33
   47     38
    4     24
  -42     31
    6     17
    3     17
    4      4
   -3      3
    4      3
    1      2
   -3      2
    2      2
    6      3
    3      3
   -3      4
  -15      7
   35     17
   16     22
  -41     30
    2     19
   35     26
   -7     14
  -43     28
   24     24
    9     25
  -15     16
   -7     10
  -13     11
    2      7
    2      5
    5      3
    3      3
   -6      4
    6      5
   -1      4
    1      2
    4      2
    5      3
    3      4
   -1      3
    2      2
   -7      3
    8      5
    2      5
    0      3
   -5      2
    8      4
   12      8
   -5      8
    5      7
   -2      4
    0      2
  -15      5
    1      5
   -5      7
   12      6
    1      6
  -10      7
    8      6
    5      7
    1      4
   -4      3
    8      4
    5      5
  -10      7
   22     12
   16     16
  -48     28
    4     22
   34     28
    1     13
  -49     28
   19     23
   29     32
  -25     24
   -3     19
   12     13
   -7      7
   -5      8
    4      5
   12      7
   -5      7
   -3      6
    0      2
   -3      2
   -2      1
  -44     16
    0     15
   40     28
  -24     21
   -7     23
   33     21
   42     27
  -42     39
   -9     31
   -7     19
    3      6
   13      7
   -4      6
   20     12
  -15     13
    7     14
  -18     13
   -7     10
  -10     11
    5      7
   -1      5
  -10      5
    7      6
    0      5
   -6      4
   -1      2
  -11      6
   10      7
    4      8
   15      9
    2      7
    1      6
    8      3
   17      8
  -11     12
  -11     13
    1      7
    3      5
   -3      2
    8      4
   13      8
   14     11
    5     10
  -14     11
    7      8
   16     12
   -5      9
  -13     11
   -8      8
   -1      7
    4      4
  -10      5
   -4      6
   11      8
    3      6
   -6      6
   12      9
   -8      8
   10     10
  -13     10
    3      8
   -9      8
    5      5
  -13      9
   10      9
    5      9
   12      9
   -6      7
   -8      8
    7      7
   -6      7
    5      6
   -7      8
    7      8
   -9      4
  -24     16
   -4     15
    9     12
   22     11
  -15     15
  -16     17
   46     25
  -20     27
  -47     37
   28     31
   54     43
  -13     31
  -42     36
   53     36
   31     42
  -32     38
  -28     30
   33     31
    5     22
  -41     26
    2     16
   25     22
  -18     15
  -33     25
    1     17
    2     12
   -1      1
   19      7
   13     11
   -5     12
  -13     10
  -22     13
    9     14
    9     13
